	A549_CTL_rnaseq	A549_PIC_rnaseq
NBPF14	652	879
NBPF12	971	956
NBPF11	697	858
NBPF10	450	362
NBPF1	1994	548
NBN	11297	2279
NBL1	1220	224
NBEAP6	133	0
NBEAP5	71	6
NBEAP2	52	12
NBEAP1	1	17
NBEAL2	1828	495
NBEAL1	2101	543
NBEA	2340	242
NBDY	1153	71
NBAS	2482	186
NAXE	7115	1538
NAXD	765	627
NAV3	2465	2445
NAV2-AS6	4	108
NAV2-AS2	161	15
NAV2-AS1	314	191
NAV2	2157	927
NAV1	1504	188
NATD1	78	328
NAT9	923	1623
NAT8L	574	65
NAT2	0	12
NAT16	0	98
NAT14	479	329
NAT10	5529	781
NAT1	542	539
NASP	8876	3099
NARS2	1497	128
NARS1	13082	2763
NARF-IT1	8	19
NARF-AS2	119	154
NARF-AS1	2	23
NARF	1154	699
NAPSB	0	28
NAPSA	20	25
NAPRT	192	384
NAPG	1555	442
NAPEPLD	1996	482
NAPB	731	381
NAPA-AS1	483	173
NAPA	2522	657
NAP1L5	225	876
NAP1L4P1	25	18
NAP1L4	8979	1052
NAP1L3	44	153
NAP1L2	411	399
NAP1L1P3	12	2
NAP1L1	46901	6894
NANS	1701	1560
NANP	2023	577
NANOS1	69	189
NANOGP1	0	16
NANOGNBP3	0	36
NANOGNBP1	0	30
NANOGNB	0	14
NANOG	0	13
NAMPTP1	1270	283
NAMPT	19640	8836
NALT1	15	34
NALF2	344	135
NALCN-AS1	67	17
NALCN	958	81
NAIPP2	39	31
NAIP	20	24
NAIF1	236	295
NAGS	11	1
NAGPA	234	110
NAGLU	1192	200
NAGK	1234	594
NAGA	644	23
NAF1	1297	167
NAE1	6587	617
NADSYN1	1898	1451
NADK2-AS1	19	14
NADK2	2334	460
NADK	1332	523
NACC2	3404	334
NACC1	2499	524
NACAD	1	52
NACA	18282	9726
NABP2	2294	175
NABP1	1696	2869
NAB2	340	344
NAB1	3000	678
NAALADL2	20	22
NAALADL1	6	213
NAALAD2	171	200
NAAA	974	169
NAA80	64	42
NAA60	1560	734
NAA50	20126	1152
NAA40	1972	315
NAA38	1154	576
NAA35	4322	434
NAA30	3141	832
NAA25	6362	950
NAA20	5584	998
NAA16	1457	448
NAA15	10091	602
NAA10	2735	545
N6AMT1	600	556
N4BP3	41	220
N4BP2L2-IT2	37	44
N4BP2L2	2471	647
N4BP2L1	13	170
N4BP2	1297	68
N4BP1	2085	596
MZT2B	714	65
MZT2A	393	54
MZT1P2	0	390
MZT1	2730	444
MZF1-AS1	301	590
MZF1	807	749
MZB1	12	4
MYZAP	158	16
MYT1L	0	10
MYT1	6	33
MYSM1	2700	2526
MYRF-AS1	36	38
MYRF	3558	389
MYPOP	284	28
MYPN	258	456
MYOZ3-AS1	0	12
MYOZ3	2	57
MYOZ2	0	140
MYOT	17	11
MYOSLID	2	11
MYORG	1049	348
MYOM3	713	61
MYOM2	69	304
MYOM1	20	6
MYOF	55588	3599
MYOCOS	2	30
MYOCD	28	3
MYO9B	1859	194
MYO9A	4886	332
MYO7A	68	26
MYO6	2323	273
MYO5C	4646	311
MYO5B	1299	372
MYO5A	8325	384
MYO1H	8	37
MYO1G	0	18
MYO1F	8	22
MYO1E	15899	1795
MYO1D	429	16
MYO1C	12572	659
MYO1B-AS1	8	18
MYO1B	20202	1185
MYO1A	14	126
MYO19	7023	2329
MYO18A	4684	691
MYO16-AS1	30	16
MYO16	8	17
MYO15B	2009	1878
MYO15A	0	25
MYO10	9073	1554
MYNN	1879	810
MYLK4	495	84
MYLK3	10	71
MYLK2	10	28
MYLK-AS1	547	136
MYLK	7388	278
MYLIP	354	1431
MYL9	31	4
MYL6B-AS1	162	49
MYL6B	6822	1542
MYL6	17663	6227
MYL5	471	302
MYL12BP1	54	56
MYL12B	9137	1644
MYL12A	8483	5363
MYL12-AS1	2988	1461
MYH9	36155	4210
MYH7B	10	175
MYH6	0	38
MYH3	69	337
MYH16	24	119
MYH15	56	40
MYH14	430	33
MYH11	167	30
MYH10	5632	678
MYG1-AS1	210	240
MYG1	1148	701
MYEOV	5030	3599
MYEF2	3589	1310
MYDGF	1722	145
MYD88	1744	1315
MYCT1	4	54
MYCN	0	14
MYCL	56	73
MYCBPAP	23	106
MYCBP2-AS1	870	162
MYCBP2	4506	1015
MYCBP	1582	328
MYC	4867	24412
MYBPC2	6	30
MYBPC1	0	58
MYBL2	7071	247
MYBL1	4430	1769
MYBBP1A	4433	820
MYB	71	50
MYADM-AS1	3	11
MYADM	4467	1251
MXRA8	100	118
MXRA7P1	25	0
MXRA7	2103	160
MXI1	449	164
MXD4	264	244
MXD3	4636	2868
MXD1	1191	20767
MX2	6	623
MX1	101	10734
MVP-DT	4460	1004
MVP	5806	961
MVK	664	180
MVD	478	276
MVB12B	580	22
MVB12A	383	78
MUTYH	216	240
MUSK	0	22
MUS81	602	518
MUL1	1342	248
MUCL3	16	10
MUC5B-AS1	456	42
MUC5B	8027	1650
MUC5AC	9906	9034
MUC4	7	31
MUC3A	130	31
MUC20P1	11	14
MUC20-OT1	1207	510
MUC20	11	20
MUC2	29	59
MUC19	6	10
MUC17	2	1073
MUC16	34	22
MUC13	1049	700
MUC12-AS1	60	403
MUC12	66	726
MUC1	139	183
MTX3	2803	1233
MTX2	1483	160
MTX1P1	167	26
MTX1	583	371
MTUS1-DT	36	6
MTUS1	17229	761
MTURN	244	706
MTTP	6	13
MTSS2	3754	691
MTSS1	194	163
MTRR	3414	862
MTRFR	1298	414
MTRF1L	1750	2764
MTRF1	462	125
MTREX	8124	639
MTRES1	401	323
MTR	5005	387
MTPN	15361	2469
MTPAP	2770	669
MTOR-AS1	54	6
MTOR	3898	405
MTO1	1162	447
MTNR1A	174	14
MTND6P4	16	46
MTND5P42	3	14
MTND5P28	0	20
MTND5P14	0	53
MTND5P11	26	135
MTND4P23	0	24
MTND4P15	6	14
MTND4P14	0	25
MTND4P12	244	3110
MTND4LP30	12	148
MTND2P28	8773	58523
MTND1P9	0	18
MTND1P23	26	158
MTND1P11	1	14
MTMR9LP	29	63
MTMR9	1887	898
MTMR8	70	0
MTMR7	703	477
MTMR6	3516	819
MTMR4	2772	1307
MTMR3	1223	317
MTMR2	5485	804
MTMR14	1193	661
MTMR12	2970	212
MTMR11	511	526
MTMR10	3264	974
MTMR1	2853	716
MTM1	1292	172
MTLN	305	112
MTIF3	666	130
MTIF2	4837	1333
MTHFSD	651	650
MTHFS	1751	130
MTHFR	587	310
MTHFD2P7	12	0
MTHFD2P1	0	11
MTHFD2L	858	1041
MTHFD2	12370	1057
MTHFD1L	2532	116
MTHFD1	16620	583
MTG2	1063	743
MTG1	1257	373
MTFR2	910	363
MTFR1L	896	346
MTFR1	3446	168
MTFP1	585	47
MTFMT	1255	195
MTF2	1658	560
MTF1	1301	721
MTERF4	1386	972
MTERF3	1593	521
MTERF2	875	710
MTERF1	1332	1043
MTDHP1	6	19
MTDH	15034	629
MTCP1	480	921
MTCO3P12	116	3192
MTCO3P11	0	18
MTCO2P2	11	92
MTCO2P12	52	669
MTCO2P11	0	23
MTCO1P40	24	87
MTCO1P28	0	13
MTCO1P12	2043	21046
MTCO1P11	2	32
MTCL1	6903	1283
MTCH2	5694	285
MTCH1P2	39	130
MTCH1	3519	1513
MTBP	1315	299
MTATP8P2	2	18
MTATP8P1	91	1245
MTATP6P11	0	26
MTATP6P1	44229	311017
MTARC2	675	344
MTARC1	904	72
MTAP	394	169
MTA3	2077	184
MTA2	5202	2416
MTA1-DT	131	10
MTA1	2394	765
MT4	0	13
MT2A	517	1099
MT1X	167	292
MT1F	30	2
MT1A	12	12
MT-TY	9429	87708
MT-TW	755	4551
MT-TV	3703	11755
MT-TT	2629	12337
MT-TS2	2696	9765
MT-TS1	27246	224129
MT-TR	2936	11852
MT-TQ	1309	4739
MT-TP	3767	29919
MT-TN	7363	78975
MT-TM	1443	5097
MT-TL2	2551	9715
MT-TL1	14535	88996
MT-TK	1087	6996
MT-TI	1648	5812
MT-TH	2496	8568
MT-TG	2731	16577
MT-TF	1904	8789
MT-TE	5550	25404
MT-TD	1813	12872
MT-TC	9948	100733
MT-TA	3344	36171
MT-RNR2	618326	6833750
MT-RNR1	54735	439135
MT-ND6	65485	374998
MT-ND5	196438	1091697
MT-ND4L	109220	1024595
MT-ND4	425913	4221761
MT-ND3	37995	264848
MT-ND2	207606	1265781
MT-ND1	156066	1170414
MT-CYB	139350	1474901
MT-CO3	453127	3246326
MT-CO2	275848	2242026
MT-CO1	763609	6458298
MT-ATP8	199022	1443246
MT-ATP6	419289	2861003
MSX2	230	451
MSX1	118	1226
MSTO2P	162	213
MSTO1	718	354
MST1R	425	53
MST1P2	18	80
MST1L	4	54
MST1	46	203
MSS51	49	30
MSRB3-AS1	31	37
MSRB3	3144	100
MSRB2	230	56
MSRB1P1	0	52
MSRB1	829	65
MSRA-DT	0	20
MSRA	382	2
MSNP1	63	0
MSN	23875	1569
MSMP	551	100
MSMO1	3639	473
MSLN	38	24
MSL3P1	1082	1580
MSL3	1817	1281
MSL2	1097	316
MSL1	5468	2261
MSI2	4443	232
MSI1	2	15
MSH6	15980	2420
MSH5-SAPCD1	636	467
MSH5	649	384
MSH4	0	66
MSH3	2286	128
MSH2	8224	208
MSC-AS1	489	257
MSC	508	1170
MSANTD4	1489	569
MSANTD3P1	17	238
MSANTD3-TMEFF1	1077	224
MSANTD3	4040	1280
MSANTD2-AS1	68	834
MSANTD2	628	267
MSANTD1	0	15
MS4A2	0	12
MRTO4	4414	853
MRTFB	4237	499
MRTFA	1476	433
MRS2	2465	746
MRRF	2694	572
MRPS9-AS2	0	36
MRPS9-AS1	1045	136
MRPS9	1956	251
MRPS7	5137	1208
MRPS6	1004	234
MRPS5	4859	791
MRPS36	1230	179
MRPS35-DT	34	23
MRPS35	8054	321
MRPS34	2200	241
MRPS33	1847	876
MRPS31P5	190	486
MRPS31P4	272	96
MRPS31	995	290
MRPS30-DT	1	12
MRPS30	3352	517
MRPS28	1605	74
MRPS27	6363	399
MRPS26	1533	378
MRPS25	6987	2245
MRPS24	1065	618
MRPS23	4370	796
MRPS22	5027	2975
MRPS21	2195	1480
MRPS2	1920	462
MRPS18CP7	16	3
MRPS18C	1819	506
MRPS18B	2224	319
MRPS18A	750	68
MRPS17P1	20	12
MRPS17	1239	1453
MRPS16	6671	943
MRPS15	1862	500
MRPS14	921	1531
MRPS12	2430	408
MRPS11	2361	877
MRPS10	4037	282
MRPL9	2005	539
MRPL58	2061	453
MRPL57	983	1053
MRPL55	307	214
MRPL54	563	296
MRPL53	608	206
MRPL52	674	324
MRPL51	3685	1155
MRPL50	2577	2319
MRPL49	2868	852
MRPL48	1280	104
MRPL47	1860	382
MRPL46	1766	509
MRPL45P2	411	222
MRPL45	3611	317
MRPL44	2134	1133
MRPL43	1491	429
MRPL42	4781	671
MRPL41	642	215
MRPL40	1035	211
MRPL4	788	362
MRPL3P1	49	3
MRPL39	1391	121
MRPL38	2044	1657
MRPL37	3225	260
MRPL36	792	225
MRPL35	4774	3624
MRPL34	608	162
MRPL33	3037	800
MRPL32	2791	2213
MRPL30	4859	612
MRPL3	7118	523
MRPL28	1547	274
MRPL27	1830	484
MRPL24	2832	540
MRPL23	762	134
MRPL22	1767	254
MRPL21	1426	376
MRPL20-DT	76	1364
MRPL20-AS1	756	385
MRPL20	1860	343
MRPL2	607	258
MRPL19	8766	576
MRPL18	3117	217
MRPL17	2864	387
MRPL16	1531	473
MRPL15	4034	752
MRPL14	963	211
MRPL13	2951	1176
MRPL12	5243	177
MRPL11	1887	879
MRPL10	1826	895
MRPL1	1369	100
MROH8	262	69
MROH7-TTC4	1565	366
MROH6	76	1042
MROH3P	2	29
MROH2A	12	22
MROH1	400	227
MROCKI	24	314
MRNIP-DT	57	449
MRNIP	28696	24860
MRM3	1556	282
MRM2	2813	821
MRM1	627	233
MRLN	0	60
MRI1	890	354
MRGPRX4	0	19
MRGPRX3	0	88
MRGPRF	2	15
MRGBP	1372	569
MRFAP1P1	4	51
MRFAP1L1	1962	3882
MRFAP1	13000	6596
MREG	583	821
MRE11	2931	681
MRC2	1518	170
MRC1	0	63
MRAS	406	47
MRAP2	135	6
MRAP	236	41
MR1	546	267
MPZL3	82	87
MPZL2	8	40
MPZL1	10512	355
MPZ	18	25
MPV17L2	234	74
MPV17L	781	87
MPV17	1168	614
MPST	1168	118
MPRIP	27558	1919
MPPED1	0	15
MPPE1	1268	135
MPP7	17	2
MPP4	11	31
MPP3	979	471
MPP2	306	8
MPP1	431	144
MPND	84	25
MPLKIP	701	276
MPL	17	30
MPIG6B	2	148
MPI	2289	1192
MPHOSPH9	3583	420
MPHOSPH8	2466	1358
MPHOSPH6	1819	406
MPHOSPH10P3	13	8
MPHOSPH10P2	28	1
MPHOSPH10	4623	2528
MPG	485	39
MPDZ	3460	469
MPDU1	3465	1791
MPC2	2800	261
MPC1L	0	14
MPC1-DT	0	20
MPC1	308	148
MOXD1	182	10
MOV10	1189	756
MOSPD3	141	12
MOSPD2	2082	677
MOSPD1	1493	321
MOSMO	1235	479
MORN4	373	206
MORN3	10	113
MORN2	644	144
MORN1	271	124
MORF4L2-AS1	210	116
MORF4L2	18840	13257
MORF4L1P1	3836	300
MORF4L1	22453	2304
MORF4	79	1
MORC4	14311	671
MORC3	1809	1759
MORC2-AS1	191	27
MORC2	2035	474
MON2	3797	426
MON1B	3033	2682
MON1A	210	24
MOK	1235	854
MOGS	1417	937
MOGAT1	1	98
MOCS3	697	933
MOCS2-DT	200	65
MOCS2	3441	549
MOCS1	94	4
MOCOS	1059	30
MOBP	0	62
MOB4P2	0	11
MOB4	4426	550
MOB3C	178	279
MOB3B	585	39
MOB3A	507	82
MOB2	394	33
MOB1B	2803	362
MOB1A	18012	3659
MOAP1	958	5143
MNX1-AS2	21	16
MNX1-AS1	82	10
MNX1	344	236
MNT	707	710
MNS1	1314	142
MND1	743	32
MNAT1	1814	92
MN1	205	228
MMUT	1348	260
MMS22L	3213	249
MMS19	1968	378
MMRN2	26	368
MMRN1	13	16
MMP9	10	19
MMP7	4225	113
MMP28	67	6
MMP25-AS1	42	144
MMP25	17	109
MMP24OS	1451	716
MMP24	3294	731
MMP21	194	156
MMP2	158	24
MMP19	38	149
MMP17	196	14
MMP16	25	4
MMP15	514	99
MMP14	70	304
MMP13	2	12
MMP11	12	4
MMP10	11	13
MMP1	42	120
MMGT1	4052	827
MMEL1	136	9
MME	23	22
MMD2	0	1484
MMD	2275	600
MMADHC-DT	263	123
MMADHC	5568	1843
MMACHC	14950	703
MMAB	1191	170
MMAA	199	204
MLYCD	400	125
MLXP1	7	21
MLXIPL	26	75
MLXIP	2070	299
MLX	4441	2679
MLST8	834	235
MLPH	8879	5479
MLNR	6	44
MLN	0	12
MLLT6	3250	327
MLLT3	2844	490
MLLT11	3460	737
MLLT10P1	7	39
MLLT10	2908	1111
MLLT1	1278	172
MLKL	1530	415
MLH3	2444	472
MLH1	3881	454
MLF2	6654	1702
MLF1-DT	98	14
MLF1	734	119
MLEC	19954	2228
MLANA	30	5
MKX	0	63
MKS1	448	524
MKRN8P	4	13
MKRN3	365	713
MKRN2OS	27	23
MKRN2	4220	1314
MKRN1	4251	1302
MKNK2	902	2421
MKNK1-AS1	164	32
MKNK1	923	159
MKLN1-AS	300	379
MKLN1	6152	1214
MKKS	4312	1096
MKI67	41713	2562
MIX23	1017	297
MITF	1840	301
MITD1	1114	1643
MISP3	40	44
MISP	4377	1461
MIS18BP1	5899	831
MIS18A-AS1	10	33
MIS18A	1047	388
MIS12	2555	4993
MIRLET7IHG	412	1886
MIRLET7I	14	31
MIRLET7F1	0	24
MIRLET7D	16	200
MIRLET7BHG	100	126
MIRLET7A1HG	281	2399
MIRLET7A1	1	13
MIR99AHG	43	690
MIR943	40	4
MIR939	92	62
MIR937	87	37
MIR935	2	44
MIR933	0	12
MIR93	6	17
MIR924HG	110	3
MIR922	15	5
MIR9-3HG	19	115
MIR9-1HG	64	154
MIR877	4	12
MIR8085	0	48
MIR8072	9	18
MIR7845	0	21
MIR7705	633	112
MIR7703	333	455
MIR770	2	12
MIR762HG	275	106
MIR762	42	9
MIR761	19	6
MIR7161	31	2
MIR7113	18	9
MIR7111	10	28
MIR711	133	478
MIR7109	62	21
MIR7106	11	7
MIR7-3HG	0	247
MIR7-1	24	123
MIR6894	5	10
MIR6891	0	35
MIR6890	2	12
MIR6861	10	7
MIR6859-4	7	14
MIR6859-3	3	11
MIR6859-1	4	18
MIR6852	336	26
MIR6851	2	10
MIR6850	12	168
MIR6848	43	48
MIR6843	6	11
MIR6840	29	14
MIR6838	20	3
MIR6835	25	34
MIR6834	12	68
MIR6821	3	29
MIR6819	12	1
MIR6812	6	14
MIR6807	16	136
MIR6805	17	45
MIR6800	67	9
MIR6797	8	24
MIR6791	0	14
MIR6789	81	20
MIR6784	14	2
MIR6776	3	14
MIR6775	13	7
MIR6772	11	13
MIR6766	1	13
MIR6759	16	43
MIR6758	8	53
MIR6755	0	34
MIR6748	26	13
MIR6743	10	4
MIR6732	3	66
MIR6721	82	54
MIR6720	12	9
MIR6717	16	0
MIR6716	20	10
MIR671	42	43
MIR659	2	22
MIR656	0	13
MIR6516	6	77
MIR6514	1	39
MIR6513	60	10
MIR6511B1	17	9
MIR6506	70	15
MIR6501	76	45
MIR641	34	2
MIR639	41	1
MIR637	4	13
MIR636	407	708
MIR632	278	159
MIR631	2	12
MIR630	8	13
MIR621	150	8
MIR616	3	78
MIR614	108	54
MIR6126	66	32
MIR6125	66	11
MIR612	1	45
MIR611	175	28
MIR6077	0	36
MIR600HG	161	59
MIR590	36	40
MIR5703	12	0
MIR570	52	21
MIR5689HG	2	13
MIR568	22	10
MIR561	1	23
MIR5572	78	5
MIR555	73	6
MIR548D1	30	10
MIR548AR	22	6
MIR548AA1	30	10
MIR542	0	34
MIR5188	6	56
MIR5187	17	1
MIR5090	13	16
MIR5087	0	59
MIR5047	1065	6447
MIR503HG	311	1339
MIR503	3	18
MIR5010	57	13
MIR5006	44	6
MIR5004	26	15
MIR5001	0	38
MIR4999	0	26
MIR497HG	936	1429
MIR493HG	56	334
MIR483	0	10
MIR4800	13	8
MIR4795	0	17
MIR4775	123	44
MIR4761	207	16
MIR4758	94	24
MIR4751	227	422
MIR4750	14	17
MIR4738	0	10
MIR4737	30	2
MIR4734	1	15
MIR4733HG	28	18
MIR4733	0	10
MIR4730	2	10
MIR4721	1095	279
MIR4720	20	2
MIR4712	53	79
MIR4709	782	89
MIR4707	27	0
MIR4700	190	139
MIR4687	34	0
MIR4683	22	71
MIR4680	68	8
MIR4678	0	20
MIR4668	0	14
MIR4666A	2	29
MIR4664	15	3
MIR4658	43	84
MIR4657	91	119
MIR4653	5	17
MIR4647	68	304
MIR4644	0	11
MIR4635	0	58
MIR4530	0	17
MIR4523	29	14
MIR452	0	11
MIR4517	36	2
MIR4512	2	29
MIR450B	0	66
MIR450A2	0	72
MIR450A1	0	63
MIR4500HG	77	27
MIR4492	7	10
MIR4482	5	89
MIR4477B	3	15
MIR4470	6	12
MIR4458HG	144	431
MIR4458	2	18
MIR4453HG	165	2108
MIR4453	6	43
MIR4444-2	29	7
MIR4444-1	886	374
MIR4442	60	9
MIR4435-2HG	2138	465
MIR4426	68	6
MIR4321	12	61
MIR4315-2	18	7
MIR4315-1	47	17
MIR4292	24	2
MIR429	0	22
MIR4273	10	2
MIR4271	25	4
MIR4263	12	4
MIR4260	23	3
MIR4258	18	15
MIR4257	0	94
MIR4253	125	5
MIR425	0	10
MIR424	2	17
MIR423	4	26
MIR3940	385	122
MIR3936HG	644	332
MIR3936	37	15
MIR3934	10	21
MIR3917	129	20
MIR3916	68	37
MIR3912	0	11
MIR3911	58	5
MIR378J	6	16
MIR378D2HG	0	82
MIR378D2	0	32
MIR3685	58	224
MIR3682	33	12
MIR3681HG	0	17
MIR3677HG	20	45
MIR3661	571	74
MIR3658	414	31
MIR3655	384	296
MIR3654	653	71
MIR3652	1253	449
MIR3650	3	16
MIR3648-1	0	12
MIR3620	12	26
MIR3618	63	17
MIR3614	277	305
MIR3610	48	7
MIR3606	0	24
MIR3605	118	73
MIR34C	0	27
MIR34BHG	0	210
MIR34B	0	13
MIR34AHG	529	679
MIR339	0	15
MIR330	0	12
MIR324	9	59
MIR320A	0	42
MIR31HG	673	188
MIR3198-2	281	40
MIR3191	2	376
MIR3190	2	380
MIR3189	9	21
MIR3184	4	20
MIR3176	33	0
MIR3173	0	23
MIR3153	26	73
MIR3143	0	70
MIR3142HG	0	22
MIR30DHG	383	509
MIR3074	41	30
MIR3064	913	6112
MIR302CHG	1612	394
MIR29C	5	10
MIR29B2CHG	80	216
MIR27B	20	22
MIR27A	4	18
MIR2682	4	55
MIR25	23	44
MIR24-1	35	28
MIR23AHG	408	5830
MIR23A	4	20
MIR22HG	1567	5447
MIR2277	35	28
MIR224	7	76
MIR222HG	554	2124
MIR221	35	241
MIR22	35	90
MIR219A1	0	23
MIR210HG	23	19
MIR21	8	96
MIR202HG	0	100
MIR202	0	12
MIR198	277	7
MIR196A1	10	6
MIR194-2HG	51	84
MIR193BHG	628	255
MIR1915HG	989	1101
MIR1909	32	51
MIR186	10	43
MIR1825	258	12
MIR181A2HG	34	207
MIR181A1HG	11	89
MIR17HG	202	647
MIR155HG	2	27
MIR1539	0	25
MIR147B	75	86
MIR142HG	0	10
MIR137HG	266	1419
MIR137	7	29
MIR130AHG	18	102
MIR1307	24	50
MIR1306	119	8
MIR1304	107	59
MIR1302-9HG	2	55
MIR1292	43	395
MIR1291	7	14
MIR1287	14	1
MIR1282	1818	265
MIR1279	77	156
MIR1248	101	533
MIR1244-3	51	23
MIR1244-2	250	72
MIR1244-1	7458	2172
MIR1236	0	132
MIR1229	4	11
MIR1226	1	12
MIR1204	61	43
MIR1184-1	116	19
MIR1182	125	14
MIR1181	114	92
MIR1178	59	0
MIR10A	0	24
MIR106B	1	18
MIR100HG	680	5948
MIPOL1	600	68
MIPEPP3	58	216
MIPEP	1277	74
MIP	87	51
MIOS-DT	62	124
MIOS	2640	516
MINPP1	1906	403
MINK1	3665	516
MINDY4	403	25
MINDY3	1303	375
MINDY2-DT	9	28
MINDY2	1822	371
MINDY1	190	227
MINCR	61	1041
MINAR1	154	140
MILR1	143	43
MIIP	143	167
MIGA2	657	471
MIGA1	2230	283
MIF4GD-DT	518	490
MIF4GD	944	890
MIF-AS1	1738	116
MIF	1741	100
MIER3	2948	3039
MIER2	372	101
MIER1	3529	1631
MIEN1	1328	531
MIEF2	212	67
MIEF1	3491	1022
MIDN	1504	6602
MIDEAS	1675	4137
MID2	1023	398
MID1IP1-AS1	173	130
MID1IP1	2569	1291
MID1	19193	1770
MICU3	526	127
MICU2	2512	560
MICU1	3904	115
MICOS13	321	38
MICOS10-NBL1	1551	416
MICOS10-DT	0	59
MICOS10	1572	886
MICE	28	55
MICD	16	68
MICB-DT	18	65
MICB	670	333
MICALL2-DT	14	22
MICALL2	347	658
MICALL1	800	89
MICAL3	3807	345
MICAL2	5606	823
MICAL1	443	510
MICA	1019	515
MIB2	128	399
MIB1	4652	535
MIATNB	161	29
MIAT	141	261
MIA3	3845	1182
MIA2-AS1	25	94
MIA2	3785	358
MIA-RAB4B	223	165
MIA	2	31
MHENCR	60	490
MGST3	2789	123
MGST2	957	42
MGST1	26404	695
MGRN1	2019	376
MGP	2	11
MGMT	99	4
MGME1	4595	882
MGLL	6839	171
MGC16275	58	450
MGAT5B	1534	143
MGAT5	3009	288
MGAT4EP	0	16
MGAT4C	0	10
MGAT4B	4570	1299
MGAT4A	502	47
MGAT3	10	4
MGAT2	3493	2410
MGAT1	2135	613
MGARP	24	66
MGAM2	12	5
MGAM	653	34
MGA	4836	250
MFSD9	970	197
MFSD8	1001	449
MFSD6	2531	94
MFSD5	970	192
MFSD4B	651	208
MFSD4A	30	91
MFSD3	156	97
MFSD2B	91	79
MFSD2A	198	689
MFSD14C	1839	219
MFSD14B	5478	724
MFSD14A	3239	6713
MFSD13B	16	6
MFSD13A	181	121
MFSD12	1725	2532
MFSD11	4457	6676
MFSD10	428	486
MFSD1	2753	737
MFRP	0	14
MFNG	19	15
MFN2	5225	1089
MFN1	3025	313
MFHAS1	2816	173
MFGE8	3017	913
MFF-DT	142	53
MFF	3950	775
MFAP5	20	2
MFAP4	52	22
MFAP3L	890	115
MFAP3	3426	1802
MFAP1	2535	802
MEX3D	259	293
MEX3C	1847	1089
MEX3B	274	1315
MEX3A	189	76
METTL9	5224	241
METTL8	2653	113
METTL7B	417	11
METTL7A	12	8
METTL6	2082	772
METTL5	5539	1660
METTL4	1005	43
METTL3	3442	2493
METTL2B	3476	923
METTL2A	1814	663
METTL27	77	148
METTL26	254	20
METTL25B	473	1024
METTL25	229	27
METTL23	1130	300
METTL22	524	754
METTL21A	915	342
METTL18	434	1038
METTL17	2507	3986
METTL16	5232	711
METTL15P1	13	6
METTL15	1697	199
METTL14-DT	12	179
METTL14	1828	414
METTL13	3023	365
METTL1	949	501
METRNL	60	198
METRN	1033	145
Metazoa_SRP	169	187
METAP2	10236	1449
METAP1D	305	57
METAP1	6301	341
MET	22464	3927
MESTIT1	85	29
MEST	3355	219
MESP1	91	23
MESD	6701	524
MERTK	108	12
MEPCE	2490	1040
MEP1AP4	0	10
MEOX2	2	22
MEN1	1250	579
MEMO1P1	21	10
MEMO1	3250	140
MELTF-AS1	445	145
MELTF	2640	552
MELK	8979	434
MEIS3P2	42	17
MEIS3P1	81	45
MEIS3	529	333
MEIS2	986	315
MEIS1-AS2	13	17
MEIS1	128	165
MEIOSIN	0	28
MEIOC	3088	528
MEIOB	203	102
MEIG1	7	66
MEGF9	4610	466
MEGF8	1828	735
MEGF6	856	122
MEGF11	29	35
MEG9	12	452
MEG8	70	825
MEG3	1309	3766
MEFV	0	22
MEF2D	1919	1124
MEF2C-AS1	14	7
MEF2C	0	11
MEF2B	130	80
MEF2A	2634	505
MED9	707	1924
MED8-AS1	304	87
MED8	1563	403
MED7	1085	1024
MED6P1	0	121
MED6	2151	339
MED4-AS1	643	57
MED4	1892	247
MED31	1157	732
MED30	190	174
MED29	5500	6240
MED28P7	2	12
MED28-DT	15	180
MED28	1281	1348
MED27	886	65
MED26	191	412
MED25	1448	706
MED24	2472	702
MED23	1528	447
MED22	955	249
MED21	2383	474
MED20	906	211
MED19	688	194
MED18	500	2616
MED17	1552	1418
MED16	452	144
MED15	1363	722
MED14OS	24	28
MED14	6122	655
MED13L	7545	932
MED13	9706	5520
MED12L	109	50
MED12	1150	593
MED11	957	249
MED10	1785	1051
MED1	8461	4661
MECR	448	127
MECP2	3742	837
MECOM	19	21
MEAK7	1782	262
MEAF6	1548	251
MEA1	2585	402
ME3	765	1730
ME2	4176	241
ME1	9869	281
MDP1	295	75
MDN1-AS1	36	11
MDN1	5043	950
MDM4	1638	606
MDM2	8585	2094
MDM1	1646	387
MDK	167	49
MDH2	8212	876
MDH1B	92	40
MDH1	9286	1615
MDGA2	119	35
MDGA1	505	3385
MDFIC2	0	47
MDFIC	3247	150
MDC1-AS1	283	109
MDC1	1974	754
MCUR1	2124	142
MCUB	1242	19
MCU	6733	452
MCTS2	14	6
MCTS1	2902	2294
MCTP1	1194	476
MCRS1	1701	836
MCRIP2	370	197
MCRIP1	547	59
MCPH1-DT	113	173
MCPH1-AS1	72	26
MCPH1	1911	374
MCOLN3	908	188
MCOLN2	391	32
MCOLN1	292	276
MCMDC2	509	904
MCMBP	9832	667
MCM9	1202	511
MCM8-AS1	82	60
MCM8	6595	1609
MCM7	14841	5596
MCM6	12696	215
MCM5	4734	345
MCM4	20542	3356
MCM3AP-AS1	1979	706
MCM3AP	5079	1076
MCM3	9420	2947
MCM2	5900	392
MCM10	7278	358
