	A549_CTL_rnaseq	A549_PIC_rnaseq
ZNF226	765	1699
ZNF225-AS1	610	715
ZNF225	410	305
ZNF224	1020	1114
ZNF223	176	274
ZNF222	179	891
ZNF221	29	3
ZNF22-AS1	4	12
ZNF22	664	1343
ZNF219	625	95
ZNF217	5679	3376
ZNF215	289	39
ZNF214	119	61
ZNF213-AS1	441	910
ZNF213	311	595
ZNF212	367	224
ZNF211	441	1582
ZNF207	17078	6592
ZNF205	255	133
ZNF202	844	584
ZNF200	892	1655
ZNF20	10	24
ZNF2	302	334
ZNF197	318	357
ZNF195	2425	1187
ZNF19	115	220
ZNF189	969	791
ZNF185	1208	61
ZNF184	323	99
ZNF182	832	773
ZNF181	1057	1963
ZNF180	1564	470
ZNF18	508	152
ZNF177	16	6
ZNF175	545	511
ZNF174	408	345
ZNF17	386	296
ZNF169	276	223
ZNF165	100	93
ZNF160	918	963
ZNF16	271	121
ZNF155	180	305
ZNF154	22	36
ZNF148	3207	331
ZNF146	17110	4154
ZNF143	961	1514
ZNF142	1872	809
ZNF141	761	263
ZNF140	733	743
ZNF14	268	400
ZNF138	544	82
ZNF137P	0	14
ZNF136	133	109
ZNF135	14	4
ZNF134	846	1301
ZNF133-AS1	57	12
ZNF133	670	208
ZNF132-DT	64	22
ZNF132	170	25
ZNF131	2798	756
ZNF124	469	313
ZNF121	1033	1846
ZNF12	2147	5456
ZNF117	86	223
ZNF114-AS1	12	10
ZNF114	464	86
ZNF112	449	1012
ZNF107	1551	686
ZNF106	4623	593
ZNF101	498	946
ZNF10	161	339
ZMYND8	1266	130
ZMYND19	1122	415
ZMYND15	8	93
ZMYND12	16	4
ZMYND11	8188	657
ZMYND10	13	16
ZMYM6	1515	590
ZMYM5	565	356
ZMYM4-AS1	184	6
ZMYM4	4796	403
ZMYM3	1950	345
ZMYM2	3354	708
ZMYM1	1851	241
ZMPSTE24-DT	116	993
ZMPSTE24	8905	521
ZMIZ2	1127	378
ZMIZ1-AS1	10	43
ZMIZ1	4890	443
ZMAT5	204	25
ZMAT4	104	18
ZMAT3	1935	212
ZMAT2	4518	2522
ZMAT1	25	6
ZKSCAN8P1	31	182
ZKSCAN8	2272	3207
ZKSCAN5	1487	936
ZKSCAN4	212	256
ZKSCAN3	240	83
ZKSCAN2-DT	115	3135
ZKSCAN2	682	1166
ZKSCAN1	3745	3013
ZIM2-AS1	11	0
ZIC5	843	367
ZIC2	560	1568
ZHX3	1195	73
ZHX2	265	80
ZHX1-C8orf76	958	206
ZHX1	3354	643
ZGRF1	1194	389
ZGPAT	482	371
ZGLP1	43	376
ZG16B	17	15
ZFYVE9	1251	151
ZFYVE28	60	9
ZFYVE27	941	1390
ZFYVE26	1576	360
ZFYVE21	990	253
ZFYVE19	556	192
ZFYVE16	5621	792
ZFYVE1	525	272
ZFY-AS1	18	47
ZFY	401	461
ZFX-AS1	2	41
ZFX	3274	1436
ZFTA	425	318
ZFR	11291	904
ZFPM2-AS1	433	205
ZFPM2	141	21
ZFPM1	59	122
ZFPL1	611	304
ZFP92	69	6
ZFP91P1	0	16
ZFP91-CNTF	3575	327
ZFP91	11762	1174
ZFP90	1365	421
ZFP82	246	83
ZFP69B	168	25
ZFP64	896	83
ZFP62	1076	335
ZFP41	753	403
ZFP37	229	127
ZFP36L2	2331	17897
ZFP36L1	9679	37263
ZFP36	938	87317
ZFP30	1298	293
ZFP3	247	458
ZFP28	329	101
ZFP14	669	125
ZFP1	1157	189
ZFHX4	548	201
ZFHX3-AS1	472	46
ZFHX3	2798	590
ZFHX2-AS1	588	454
ZFHX2	116	317
ZFC3H1	4454	7673
ZFAT-AS1	59	0
ZFAT	285	24
ZFAS1	3479	6520
ZFAND6	4599	491
ZFAND5	10980	6684
ZFAND4	603	65
ZFAND3-DT	0	19
ZFAND3	2319	105
ZFAND2B	271	912
ZFAND2A-DT	329	213
ZFAND2A	757	232
ZFAND1	2298	706
ZER1	740	175
ZEB2-AS1	2	393
ZEB2	640	8426
ZEB1-AS1	206	1469
ZEB1	2299	440
ZDHHC9	3399	223
ZDHHC8P1	34	23
ZDHHC8	385	246
ZDHHC7	3563	1233
ZDHHC6	4231	1391
ZDHHC5	8208	874
ZDHHC4	1019	296
ZDHHC3	2544	511
ZDHHC24	501	272
ZDHHC23	980	301
ZDHHC22	0	12
ZDHHC21	2845	268
ZDHHC20	5064	327
ZDHHC2	2419	168
ZDHHC19	0	19
ZDHHC18	1417	333
ZDHHC17	2387	1002
ZDHHC16	1475	191
ZDHHC14	240	30
ZDHHC13	2526	635
ZDHHC12-DT	97	18
ZDHHC12	419	41
ZDHHC11B	110	61
ZDHHC11	393	273
ZDHHC1	153	96
ZDBF2	587	2366
ZCWPW2	49	632
ZCWPW1	212	108
ZCRB1	2840	619
ZCCHC9	1396	675
ZCCHC8	2467	2352
ZCCHC7	1804	344
ZCCHC4	596	95
